2023-07-28 23:49:55.936  INFO 12104 --- [main] tologySpringBootCourseProjectApplication : Starting NetologySpringBootCourseProjectApplication using Java 11.0.17 on DESKTOP-B0FQ2IR with PID 12104 (C:\Users\Lolipop\IdeaProjects\SpringBoot\Cource_SpringBoot_My\target\classes started by Lolipop in C:\Users\Lolipop\IdeaProjects\SpringBoot\Cource_SpringBoot_My)
2023-07-28 23:49:55.940  INFO 12104 --- [main] tologySpringBootCourseProjectApplication : No active profile set, falling back to 1 default profile: "default"
2023-07-28 23:49:57.236  INFO 12104 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2023-07-28 23:49:57.247  INFO 12104 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-07-28 23:49:57.248  INFO 12104 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.69]
2023-07-28 23:49:57.401  INFO 12104 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-07-28 23:49:57.402  INFO 12104 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1417 ms
2023-07-28 23:49:58.130  INFO 12104 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint(s) beneath base path '/actuator'
2023-07-28 23:49:58.181  INFO 12104 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2023-07-28 23:49:58.203  INFO 12104 --- [main] tologySpringBootCourseProjectApplication : Started NetologySpringBootCourseProjectApplication in 2.701 seconds (JVM running for 4.404)
2023-07-28 23:49:58.961  INFO 12104 --- [RMI TCP Connection(2)-192.168.56.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-07-28 23:49:58.963  INFO 12104 --- [RMI TCP Connection(2)-192.168.56.1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-07-28 23:49:58.964  INFO 12104 --- [RMI TCP Connection(2)-192.168.56.1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-07-28 23:50:21.216 ERROR 12104 --- [http-nio-8080-exec-2] r.n.n.service.TransferServiceImpl        : The card for transfer and receipt is the same.
2023-07-28 23:51:02.174  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : ---------------------
2023-07-28 23:51:02.174  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Операция в системе: 1
2023-07-28 23:51:02.175  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Операция по карте: 1
2023-07-28 23:51:02.178  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Номер карты списания: 4558445885582478
2023-07-28 23:51:02.179  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Номер карты зачисления: 455844588558247
2023-07-28 23:51:02.181  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Сумма списания: 50000000000RUR
2023-07-28 23:51:02.182  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Комиссия за перевод: 500000000RUR
2023-07-28 23:51:02.182  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Общая сумма списания: 50500000000RUR
2023-07-28 23:51:02.183  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Остаток по карте: 100000000
